freq,visc
0.008152491,8856490.544
0.00941435,8373767.386
0.010671508,8142363.882
0.01215283,7698564.209
0.013904173,7278953.844
0.015687889,6946803.107
0.017865539,6568167.493
0.020157445,6210169.419
0.023169644,5763006.205
0.026020916,5448893.46
0.029495656,4916811.628
0.033746272,4562776.635
0.03807546,4155863.337
0.043360749,3646415.264
0.0498403,3290344.562
0.056495796,2914090.55
0.064637399,2580861.54
0.073268847,2243431.321
0.083052907,1896227.613
0.092411455,1632983.304
0.106220827,1393208.858
0.122093782,1188641.01
0.137756755,995340.3321
0.156878893,818048.2213
0.177827941,653756.2014
0.202512396,517601.9969
0.22955518,417531.8937
0.262636353,327501.2649
0.296329026,261727.8265
0.334344011,199619.4431
0.386094441,155120.5626
0.437652116,116120.4532
0.498402997,86925.67525
0.562341325,63866.60544
0.631543436,46488.20732
0.729294983,34800.23287
0.826682434,24630.92548
0.937074659,17762.04233
1.07211639,12454.74057
1.21528299,8733.261624
1.390417295,6066.824898
