Lot,Tensile Strength 40,TS Deviation 40,Elongation 40,El Deviation 40,Youngs Modulus 40,Mod Deviation 40,Tensile Strength 50,TS Deviation 50,Elongation 50,El Deviation 50,Youngs Modulus 50,Mod Deviation 50,Tensile Strength 70,TS Deviation 70,Elongation 70,El Deviation 70,Youngs Modulus 70,Mod Deviation 70
30035,2.1109,0.2922,403.3205,3.961,0.4518,0.0142,1.3383,0.2717,365.1669,59.5916,0.4695,0.0486,0.6089,0.1447,176.9889,121.9597,0.4387,0.063
40-1885,8.6341,2.0395,101.3922,9.7631,0.8681,0.1268,4.94,1.2675,184.1464,58.6719,0.582,0.0753,3.1699,0.7268,97.6241,35.8273,0.5795,0.0641
40-1911,3.1009,1.1509,260.5898,137.7895,0.5082,0.0564,2.9494,0.3005,162.0703,36.8544,0.4568,0.028,1.4927,0.4622,197.4778,121.1223,0.41,0.0426
40-1912,3.6971,1.2209,233.4695,105.8329,0.5476,0.0552,1.4134,0.3862,346.0512,72.2306,0.4182,0.0316,1.1587,0.2985,245.3503,91.5028,0.4341,0.0431
40-1929,10.316,2.6206,146.6938,31.5176,0.8231,0.1699,4.9279,2.1743,132.8366,14.0948,0.5675,0.1437,3.8974,1.0328,101.3341,15.8667,0.5237,0.053
40-1930,6.3503,1.7023,141.0655,36.224,0.6613,0.0805,4.1862,1.0906,139.8483,40.6021,0.5396,0.0631,2.7588,0.9495,87.73,14.5773,0.5176,0.0774
40-1931,8.664,4.2939,178.1404,90.1268,0.6827,0.0976,5.529,1.2378,113.2923,19.4269,0.5596,0.096,2.1593,0.275,95.6761,18.6954,0.5596,0.096
Lot 9,6.576,1.0253,124.4766,21.9123,0.9764,0.1988,2.7542,1.0526,276.1514,127.6912,0.5542,0.1394,2.2862,0.2348,87.6909,19.6366,0.7634,0.1488
Lot 20,5.9392,1.0794,129.2336,21.783,0.8038,0.0793,3.1709,0.4881,170.4646,47.5484,0.8767,0.1117,1.4303,0.384,201.5287,113.3226,0.6367,0.0772
Lot 21,5.0505,1.9004,225.4054,108.4272,0.8007,0.1865,4.2717,1.2574,128.4838,47.9177,0.9864,0.1396,2.1374,0.6793,156.8214,139.148,0.6418,0.112
Lot 22,7.708,1.5505,118.2477,24.0312,1.0189,0.2075,3.1538,1.0097,204.1338,110.6802,0.7465,0.1523,2.1444,0.6892,106.4716,25.859,0.6431,0.1591
